NAME;PRED
6VSB_446605;0.9311357
6VXX_5111;0.9999999
6VXX_6436140;0.0001318
6M71_82146;0.9172966
6M71_6470990;0.2946265
6M71_9034;0.0003456
6VXX_448249;0.5761
6M71_5327013;0.1458464
6VSB_332;0.4637572
6VXX_37801;0.7464834
6VXX_448577;0.9936258
6VSB_9932888;0.9603258
6VSB_444721;0.0911479
6LU7_16741209;0.1241344
6M71_51039094;0.0241751
6VXX_6234;0.9020615
6VXX_127516;0.0114345
6M71_7186;0.8056426
6VXX_11567682;0.9995228
6VSB_235905;7.2e-05
6M71_6398414;0.9423804
6LU7_9831652;0.0
6VSB_657098;0.9705173
6LU7_4477692;0.0
6VSB_5289294;0.4849449
6LU7_2746;0.0
6VSB_54736486;0.015521
6VSB_11494891;0.9741647
6LU7_445227;0.0
6M71_11677589;0.3919107
6M71_79034;0.172725
6LU7_6031;0.0
6VSB_5287565;0.510707
6VXX_84894;0.9913396
6M71_11304743;0.0123337
6M71_60870;0.9999917
6VSB_4054;0.0038503
6LU7_3947;0.0
6VSB_92745;0.0010995
6VXX_739358;0.45476
6VXX_24851688;0.997795
6VXX_3033860;0.9987685
6VXX_448993;0.261817
6LU7_65373;0.0
6LU7_5326967;0.0
6VXX_5469318;0.0764911
6VXX_22323;0.5713018
6VXX_983;0.2609488
6VXX_9864881;0.0532741
6VSB_23653531;0.0017931
6LU7_446854;0.0198296
6VSB_46937061;0.0456264
6LU7_3734162;3.74e-05
6VXX_440995;0.0
6VSB_156419;0.4044317
6VXX_25230468;0.1072153
6VXX_5369209;0.4469542
6VXX_39985;0.3306176
6M71_6440180;0.137308
6VXX_16086836;0.0401872
6LU7_588963;4.5e-06
6M71_25187896;0.966253
6M71_25113614;0.8580291
6VXX_24871491;0.9689004
6VSB_1001;0.9895091
6M71_40466858;0.4283591
6VXX_39765;2e-07
6VSB_8612;0.0006085
6VSB_23722944;0.1063479
6LU7_10993211;0.0
6M71_23643565;0.9884886
6LU7_880;0.1444243
6VSB_76958276;0.5374215
6VXX_447634;8.23e-05
6VSB_10427712;0.8275856
6LU7_903;3e-07
6VSB_7027;0.0731262
6LU7_11197931;0.0
6M71_65624;0.981379
6M71_53232;0.0043298
6VSB_5429;0.9244393
6M71_1990;0.8143766
6VSB_6918336;0.9323798
6M71_61119;0.6166114
6VSB_491941;0.4762066
6VXX_397;0.9553296
6LU7_679;0.2864047
6M71_446284;2.1e-06
6VSB_5858;0.1773064
6M71_9642;0.0002343
6M71_24875259;0.0220032
6VSB_10024590;0.9614285
6LU7_9919680;1e-07
6VSB_5288442;0.0026601
6VSB_448469;0.0
6LU7_5289501;0.0028425
6M71_397;0.8046586
6VXX_11995761;0.9998947
6VXX_5288981;0.9312264
6LU7_10953859;0.0001827
6VXX_340;0.4886914
6LU7_1757;0.0
6VSB_6479523;0.0883489
6LU7_21720;0.0
6M71_9864;0.9010346
6VSB_448069;0.9886011
6LU7_44242317;0.0
6LU7_175540;0.0
6M71_10954115;0.0006051
6LU7_19649;0.0010639
6LU7_11609955;0.9459589
6M71_24892822;0.9158063
6LU7_448505;0.0071763
6VSB_5311037;0.2800008
6M71_5443;0.6557026
6VSB_2576;0.3021684
6LU7_22049997;0.0
6VSB_6031;0.0266092
6LU7_443958;0.0
6VXX_175;0.6702552
6VXX_25202592;0.5162286
6M71_36688409;0.427707
6VSB_6634;0.2047328
6VXX_5284636;0.631629
6VSB_57363;0.2756098
6LU7_77050711;0.0
6VXX_24864553;0.0297045
6LU7_4919;2.6e-06
6M71_25113125;0.6981498
6VXX_24764436;0.3522845
6VXX_11561383;0.2372812
6VXX_447638;0.0070707
6M71_445505;0.9644278
6VSB_9429;0.9689043
6M71_25141092;0.5991504
6M71_10668;0.027479
6VXX_449124;0.9995793
6M71_447137;0.0
6VSB_16873;0.3094625
6LU7_5288147;1.2e-06
6VXX_447400;0.3808638
6VSB_447911;0.1923106
6LU7_5289343;0.0
6VSB_5497;0.5021984
6VSB_448403;0.5032244
6M71_27501;0.3849419
6M71_73333;0.9277886
6LU7_72493;0.0
6M71_9600418;0.2421732
6VSB_598;0.4137516
6VSB_148121;0.7973822
6VSB_3161908;0.5696282
6LU7_12454;0.004915
6VSB_5289547;0.0012541
6M71_8251;0.7074393
6VXX_6420121;0.0003087
6VSB_65628;0.0077694
6LU7_13916;0.3635028
6VSB_4636204;0.0255766
6VXX_71457955;0.7829453
6M71_37497;3.49e-05
